Feature,Importance
price_range_deviation,1.0657929794054053
positive_momentum,0.6377272396051659
treasury_10y,0.5537857347985724
log_proceeds,0.5474431233263546
vc_backed,0.5444702894982899
underwriter_rank,0.3608943540722814
high_vix,0.2950467418916372
sp500_3m_return,0.24539945293536305
market_volatility,0.23786475251090505
vix_level,0.23786475251090494
industry_Financial,0.20420797288303155
offer_price,0.17344117038946158
industry_Industrial,0.15130021238376895
firm_age,0.14985676852417218
gross_proceeds,0.13048891036926236
sp500_1m_return,0.127621297333692
industry_Consumer,0.0751995943604913
is_profitable,0.0750328286704976
is_young_firm,0.05933292185715582
young_x_vc,0.05933292185715582
shares_offered,0.04437338220370023
vix_x_momentum,0.027490747285978813
is_tech,0.02560104338213769
tech_x_vc,0.02560104338213769
industry_Technology,0.025601043382137673
industry_Healthcare,0.017460750305061317
